file_name,repo_name,file_path,file_url,commit_sha,p_language,actual_status,process_status
pom.xml,magenta-aps/datafordeler-plugin-cpr,pom.xml,/magenta-aps/datafordeler-plugin-cpr/blob/7e1109d90e78ba5253f2170ac879d5f04a1fec96/pom.xml,7e1109d90e78ba5253f2170ac879d5f04a1fec96,Maven POM,1,0
pom.xml,pluto8172/JBlockChain,pom.xml,/pluto8172/JBlockChain/blob/7ded6452fde22d21b9a8afac3ac0dbc77d0e35a8/pom.xml,7ded6452fde22d21b9a8afac3ac0dbc77d0e35a8,Maven POM,0,0
tink.pom.xml,smtcrms/tink,maven/tink.pom.xml,/smtcrms/tink/blob/fb59790cf99b6267ab9959d5cab9c73044ac72d7/maven/tink.pom.xml,fb59790cf99b6267ab9959d5cab9c73044ac72d7,XML,1,0
build.gradle,unsurv/unsurv-android,build.gradle,/unsurv/unsurv-android/blob/eb7b06a876fbb574494b70de2266e4aba923c947/build.gradle,eb7b06a876fbb574494b70de2266e4aba923c947,Gradle,1,0
pom.xml,luke-zhu/encrypted-spark,pom.xml,/luke-zhu/encrypted-spark/blob/8d645324d2422e44359d9e11c0766db5040d1b97/pom.xml,8d645324d2422e44359d9e11c0766db5040d1b97,Maven POM,0,0
tink.pom.xml,google/tink,maven/tink.pom.xml,/google/tink/blob/9d9dbab453eefab2ba426190c248f96578458a2d/maven/tink.pom.xml,9d9dbab453eefab2ba426190c248f96578458a2d,XML,1,0
tink-android.pom.xml,google/tink,maven/tink-android.pom.xml,/google/tink/blob/9d9dbab453eefab2ba426190c248f96578458a2d/maven/tink-android.pom.xml,9d9dbab453eefab2ba426190c248f96578458a2d,XML,1,0
tink-android.pom.xml,sara0871/http-sara0871-google-tink,maven/tink-android.pom.xml,/sara0871/http-sara0871-google-tink/blob/c62749112c4f70705e25e9403db62cd5ebd23a8b/maven/tink-android.pom.xml,c62749112c4f70705e25e9403db62cd5ebd23a8b,XML,1,0
pom.xml,NewMoonFutureSolutions/tbuk-psd2-rpc-client,pom.xml,/NewMoonFutureSolutions/tbuk-psd2-rpc-client/blob/76eb425c8f130b7fc574761e54bf32a0f502fa02/pom.xml,76eb425c8f130b7fc574761e54bf32a0f502fa02,Maven POM,0,0
pom.xml,msanti04/ddf-yorktown-test,platform/osgi/platform-osgi-configadmin/pom.xml,/msanti04/ddf-yorktown-test/blob/e6c312b144b19a7e66551060596687608e42d86a/platform/osgi/platform-osgi-configadmin/pom.xml,e6c312b144b19a7e66551060596687608e42d86a,Maven POM,1,0
build.gradle,KyberSwap/android-app,app/build.gradle,/KyberSwap/android-app/blob/56336d37b942f8eed9caf984afd9650499ca74c1/app/build.gradle,56336d37b942f8eed9caf984afd9650499ca74c1,Gradle,1,0
pom.xml,mercurpay/vault,pom.xml,/mercurpay/vault/blob/917cc2f23c4ec7e8d648a120b2b187a89b461cff/pom.xml,917cc2f23c4ec7e8d648a120b2b187a89b461cff,Maven POM,0,0
pom.xml,msanti04/ddf-yorktown-test,platform/security/security-oidc-bundle/pom.xml,/msanti04/ddf-yorktown-test/blob/e6c312b144b19a7e66551060596687608e42d86a/platform/security/security-oidc-bundle/pom.xml,e6c312b144b19a7e66551060596687608e42d86a,Maven POM,0,0
pom.xml,dschadow/JavaSecurity,pom.xml,/dschadow/JavaSecurity/blob/81c42b7266caae1df9794f51c470c601cad9f80e/pom.xml,81c42b7266caae1df9794f51c470c601cad9f80e,Maven POM,0,0
pom.xml,msanti04/ddf-yorktown-test,distribution/kernel/pom.xml,/msanti04/ddf-yorktown-test/blob/e6c312b144b19a7e66551060596687608e42d86a/distribution/kernel/pom.xml,e6c312b144b19a7e66551060596687608e42d86a,Maven POM,1,0
pom.xml,OpenConext/OpenConext-oidcng,pom.xml,/OpenConext/OpenConext-oidcng/blob/2818a759ad74b7fa464e8b05c57590d2f7b2f99e/pom.xml,2818a759ad74b7fa464e8b05c57590d2f7b2f99e,Maven POM,0,0
pom.xml,codice/ddf,platform/osgi/platform-osgi-configadmin/pom.xml,/codice/ddf/blob/5b5418c6ead0d3209c61449789a83d66723a6a72/platform/osgi/platform-osgi-configadmin/pom.xml,5b5418c6ead0d3209c61449789a83d66723a6a72,Maven POM,1,0
pom.xml,spectral369/MyBloodBank,pom.xml,/spectral369/MyBloodBank/blob/f1c218e24b05d9952e4bea97857cc9565e610aa5/pom.xml,f1c218e24b05d9952e4bea97857cc9565e610aa5,Maven POM,0,0
pom.xml,codice/ddf,platform/security/security-oidc-bundle/pom.xml,/codice/ddf/blob/5b5418c6ead0d3209c61449789a83d66723a6a72/platform/security/security-oidc-bundle/pom.xml,5b5418c6ead0d3209c61449789a83d66723a6a72,Maven POM,1,0
pom.xml,gravitee-io/graviteeio-access-management,gravitee-am-gateway/gravitee-am-gateway-handler/gravitee-am-gateway-handler-common/pom.xml,/gravitee-io/graviteeio-access-management/blob/0f9ca266aa63e1769c2d5269187b626f94668a10/gravitee-am-gateway/gravitee-am-gateway-handler/gravitee-am-gateway-handler-common/pom.xml,0f9ca266aa63e1769c2d5269187b626f94668a10,Maven POM,1,0
pom.xml,zadorovskyi/test_kafka,pom.xml,/zadorovskyi/test_kafka/blob/27f991755779a6f34d5e87a05fb8e6d4944e38dc/pom.xml,27f991755779a6f34d5e87a05fb8e6d4944e38dc,Maven POM,1,0
pom.xml,insightiotest/go,maven/android/pom.xml,/insightiotest/go/blob/5add0f822bca1a6bfab41b880b0ced812e7eeeaa/maven/android/pom.xml,5add0f822bca1a6bfab41b880b0ced812e7eeeaa,Maven POM,0,0
